"YEAR";"QTR";"INTDIFF";"lrexr";"lusprod";"lusdisrat";"ldisrat";"ltot";"t"
"1";1973;"Q1";-4.12;-2.72975052454178;-7.63701564043954;-0.203091102527235;-0.249499396019572;0.0692584404700552;1
"2";1973;"Q2";-5.03;-2.71449952478212;-7.66276466729681;-0.208354146785879;-0.270587639092481;0.0289875368732524;2
"3";1973;"Q3";-4.42;-2.67729338484616;-7.6846579906527;-0.211150436676855;-0.293953754999659;0.0161554402222852;3
"4";1973;"Q4";-2.39;-2.75582099863876;-7.68052554748957;-0.22250775601887;-0.290191484057207;-0.0218417419150488;4
"5";1974;"Q1";-3.95;-2.75424933431164;-7.69360656054922;-0.207660918128175;-0.301816583386686;-0.172649809219994;5
"6";1974;"Q2";-4.19;-2.76982265884968;-7.7082295444905;-0.197851426832124;-0.296610703196082;-0.204095356343515;6
"7";1974;"Q3";-5.97;-2.76069111192561;-7.73131997223839;-0.189572164696075;-0.286624430893645;-0.192499761709711;7
"8";1974;"Q4";-8.49;-2.71135514881618;-7.72037792412676;-0.192881233062644;-0.270477899241661;-0.152394136252481;8
"9";1975;"Q1";-7.57;-2.667372655917;-7.69583753111361;-0.168988286602207;-0.271697716143345;-0.130905570546855;9
"10";1975;"Q2";-6.18;-2.65968029329534;-7.70774673982493;-0.16669356085306;-0.266567345536175;-0.127085428318697;10
"11";1975;"Q3";-3.38;-2.74332869502287;-7.7111871496364;-0.176668949336609;-0.249377529770279;-0.0950942204038525;11
"12";1975;"Q4";-0.6;-2.72772113494269;-7.69204868506276;-0.181023466233623;-0.249460859631583;-0.10511952276595;12
"13";1976;"Q1";-1.59;-2.90221207036124;-7.65950027990002;-0.185478048427735;-0.25646907886957;-0.118073100923102;13
"14";1976;"Q2";-4.86;-2.84994984339725;-7.68322443208806;-0.185220356675327;-0.272342538636159;-0.200670695462151;14
"15";1976;"Q3";-6.1;-2.86080322484852;-7.69875498355317;-0.180452272585851;-0.291197014559225;-0.16799173123913;15
"16";1976;"Q4";-9.54;-2.83103126705936;-7.67902810653766;-0.180503256403377;-0.306296880894013;-0.143100843640673;16
"17";1977;"Q1";-8.7;-2.81606911442665;-7.656768957301;-0.181743598023105;-0.310419618617719;-0.135254045935969;17
"18";1977;"Q2";-4.28;-2.79847945488683;-7.67135427722021;-0.195314712773164;-0.282160247267473;-0.131852131104803;18
"19";1977;"Q3";-4.45;-2.7849208617074;-7.67871118643419;-0.203785911701526;-0.273227655711621;-0.129211731480006;19
"20";1977;"Q4";-1.62;-2.75069347339557;-7.68042014253645;-0.190077376060486;-0.258118922374698;-0.11850584016924;20
"21";1978;"Q1";-0.3;-2.71884581649361;-7.65736724026502;-0.191127494428594;-0.268885053869689;-0.120534069028273;21
"22";1978;"Q2";0.45;-2.71690507955094;-7.66304225897367;-0.204804591519355;-0.279453793748805;-0.114354852662315;22
"23";1978;"Q3";1.04;-2.67920925882435;-7.66629506537005;-0.211624283110201;-0.294843228374609;-0.098136038272587;23
"24";1978;"Q4";2.12;-2.67863252419431;-7.65597356980467;-0.220612157013592;-0.290885229065118;-0.0890688280596405;24
"25";1979;"Q1";1.5;-2.6751951325268;-7.65806345292892;-0.214910179341183;-0.280073912618159;-0.0861116918187321;25
"26";1979;"Q2";1.76;-2.6649775784409;-7.68626319419333;-0.215570607075538;-0.264712864775366;-0.0921704597996571;26
"27";1979;"Q3";1.9;-2.62565654905844;-7.70655221825286;-0.214720769870172;-0.272545294065889;-0.125537744943777;27
"28";1979;"Q4";-0.94;-2.60428477135077;-7.71426079288646;-0.206008289950003;-0.280656282427375;-0.139828522487704;28
"29";1980;"Q1";-3.22;-2.68830357459493;-7.70736757625901;-0.203187367665374;-0.286217943346892;-0.159914384544008;29
"30";1980;"Q2";-1.17;-2.61826790627034;-7.74196409958308;-0.192057534269535;-0.264986185214403;-0.190503951948894;30
"31";1980;"Q3";-3.29;-2.6235419543307;-7.76688083372478;-0.184104296840004;-0.246687635280959;-0.180726478410871;31
"32";1980;"Q4";-4.23;-2.67226683336729;-7.73643607086968;-0.193404942381336;-0.239104602245542;-0.205687105750166;32
"33";1981;"Q1";-4.24;-2.76636527100591;-7.70626376384313;-0.206081762141089;-0.243021657538741;-0.2103452381709;33
"34";1981;"Q2";-3.79;-2.87489906664959;-7.73197010965798;-0.198922963213325;-0.249516121989642;-0.232068060463206;34
"35";1981;"Q3";-1;-2.86189399732999;-7.74159038769795;-0.207056259975816;-0.236149706784693;-0.257108492422894;35
"36";1981;"Q4";-1.21;-2.84978249338431;-7.7393567004361;-0.201270095725177;-0.238434137617454;-0.246860077931526;36
"37";1982;"Q1";-2.67;-2.91573297569593;-7.73006856817647;-0.179323207154919;-0.242444277165574;-0.209434273389176;37
"38";1982;"Q2";-1.44;-2.94504433947174;-7.74532196428683;-0.183051566517882;-0.241856777812695;-0.204504565972873;38
"39";1982;"Q3";-3.17;-2.95161816388941;-7.7585237314744;-0.166294378095285;-0.224231888080442;-0.209936723826928;39
"40";1982;"Q4";-2.29;-2.87261828751219;-7.73360425234044;-0.147449831068396;-0.22890624952845;-0.225424797211461;40
"41";1983;"Q1";-3.95;-2.89089846534053;-7.69448934878793;-0.149997471332992;-0.228504815395862;-0.201678687483563;41
"42";1983;"Q2";-5.36;-2.91746188650135;-7.71040782934068;-0.153924816512883;-0.233146481058363;-0.18314494094916;42
"43";1983;"Q3";-5.23;-2.96590803324328;-7.72433759899997;-0.156441521778612;-0.236461413646359;-0.180920014868666;43
"44";1983;"Q4";-3.78;-2.97535981320347;-7.70400966085157;-0.160889558416038;-0.242555804124769;-0.187088143696282;44
"45";1984;"Q1";-3.56;-2.93375449959699;-7.67183396953236;-0.169989272400624;-0.243286348161334;-0.182044202749741;45
"46";1984;"Q2";-5.16;-2.97875955580204;-7.67852302207667;-0.170916079955378;-0.23549394844159;-0.20976657255762;46
"47";1984;"Q3";-4.74;-3.06910974335877;-7.70135658070194;-0.174313739463976;-0.232729771196692;-0.20355254183704;47
"48";1984;"Q4";-3.1;-3.08070107301374;-7.68673649643254;-0.164598709615248;-0.230905556649699;-0.218361493277151;48
"49";1985;"Q1";-4.85;-3.0814621046269;-7.66234128045859;-0.157844155445964;-0.231498792770039;-0.208809092365122;49
"50";1985;"Q2";-3.19;-3.05386988700882;-7.67970183970299;-0.15293865909114;-0.23141634855851;-0.217684029109311;50
"51";1985;"Q3";-2.88;-2.97241259108607;-7.6662822205703;-0.145737702787624;-0.227908665101915;-0.185746217675319;51
"52";1985;"Q4";-2.19;-2.88703918758594;-7.66898478615681;-0.148847409853955;-0.230102273301409;-0.179100942093913;52
"53";1986;"Q1";-0.22;-2.81393717110228;-7.64533227423912;-0.153575779336147;-0.230789715352147;-0.127534373152148;53
"54";1986;"Q2";-1.37;-2.75669649072999;-7.64555143917273;-0.142280976696149;-0.240651576648166;-0.0609767964987154;54
"55";1986;"Q3";-1.41;-2.67782414579536;-7.66700984661039;-0.131699185099126;-0.244399482257634;-0.00701757265864653;55
"56";1986;"Q4";-1.29;-2.64525876736362;-7.65975089357311;-0.129861796350443;-0.241103128718972;0.00133779284165995;56
"57";1987;"Q1";-0.55;-2.58940671702432;-7.64846530699745;-0.132664084267943;-0.231109598048752;-0.0124845566622453;57
"58";1987;"Q2";0.2;-2.62020429944596;-7.65291779077197;-0.130287236311448;-0.236265607657818;-0.0232996438280527;58
"59";1987;"Q3";0.82;-2.61983526296867;-7.67286948907561;-0.128423361366063;-0.228781072091036;-0.0509110557385696;59
"60";1987;"Q4";0.38;-2.48796000415542;-7.6495429475828;-0.141625953375525;-0.234052214351693;-0.0184976372418223;60
"61";1988;"Q1";0.579999999999999;-2.53246864954128;-7.63365606259006;-0.136356961532073;-0.236489975354759;-0.0102682020271998;61
"62";1988;"Q2";-0.0199999999999996;-2.62843835546716;-7.65244569769359;-0.139391846145916;-0.232954421878469;-0.0277153998465467;62
"63";1988;"Q3";0.279999999999999;-2.66838044910585;-7.65557799511375;-0.139515587716093;-0.232602850293173;-0.0146881465616569;63
"64";1988;"Q4";0.32;-2.59000371842827;-7.64395907814042;-0.138566645709833;-0.234753580221736;-0.0127537960625704;64
"65";1989;"Q1";-0.149999999999999;-2.64297476720006;-7.62495769233371;-0.143952035472755;-0.234184964923233;-0.0197565984360764;65
"66";1989;"Q2";0.640000000000001;-2.65959231804565;-7.63152015883533;-0.140011125343834;-0.229393371685158;-0.0458095360312941;66
"67";1989;"Q3";1;-2.6261572468297;-7.65152391642887;-0.135573597072552;-0.229053376080515;-0.0232028970796639;67
"68";1989;"Q4";1.73;-2.54627446047347;-7.6433446940607;-0.13670545092754;-0.233461715732902;-0.0245274279962124;68
"69";1990;"Q1";1.95;-2.52550035404193;-7.61364685237225;-0.128288631358976;-0.237427951857204;-0.00209424160311463;69
"70";1990;"Q2";1.4;-2.50614266753397;-7.63323784018502;-0.12796547954142;-0.232140742232556;0.0158314652166807;70
"71";1990;"Q3";1.78;-2.462397250413;-7.65311752390549;-0.125550536873897;-0.231006296894974;0.023834296064132;71
"72";1990;"Q4";2.51;-2.42377568732043;-7.65237000148223;-0.115155829948886;-0.220145159314177;-0.0336242489054985;72
"73";1991;"Q1";2.09;-2.53089092855685;-7.6371817664412;-0.117306738126129;-0.221786269288895;0.0349256828539737;73
"74";1991;"Q2";3.35;-2.58379872826843;-7.63950418139633;-0.116776809963373;-0.219532800108187;0.0320883145515004;74
"75";1991;"Q3";2.83;-2.50023539162924;-7.65424407485533;-0.118202234991803;-0.226774574582572;0.044022137531407;75
"76";1991;"Q4";2.67;-2.41493179381251;-7.64474340011085;-0.119393429335387;-0.224793113364006;0.0343815461992454;76
"77";1992;"Q1";2.56;-2.48091838353376;-7.61469980949052;-0.114124933830498;-0.217768859642698;0.0608090045956058;77
"78";1992;"Q2";3.15;-2.40705503959415;-7.63557775553388;-0.110350031459929;-0.210674128216213;0.0404504084628427;78
"79";1992;"Q3";5.34;-2.47206698324707;-7.63172195098546;-0.111965129390747;-0.208343831021077;0.0581947681476667;79
"80";1992;"Q4";5.41;-2.64411614438441;-7.61315669433744;-0.164163344730708;-0.211204140458749;0.0390929257912775;80
"81";1993;"Q1";5.89;-2.72372306624717;-7.60367698837358;-0.167890528894774;-0.214172532173798;0.04765573409882;81
"82";1993;"Q2";5.24;-2.68524696504909;-7.62714511100647;-0.166104499738875;-0.22168452536032;0.0364882932631367;82
"83";1993;"Q3";2.84;-2.70444299648308;-7.63672781053859;-0.165655633488614;-0.216052515014472;0.0610518201141386;83
"84";1993;"Q4";1.97;-2.77532364152011;-7.61853751000337;-0.169755700745444;-0.217931720812464;0.0413181493307311;84
"85";1994;"Q1";1.05;-2.71269140900506;-7.60357744999139;-0.173219908525299;-0.214864819318629;0.057019688723544;85
"86";1994;"Q2";1.13;-2.6962860426466;-7.61752573298431;-0.176857655675051;-0.221794602676277;0.0470540040066353;86
"87";1994;"Q3";3.11;-2.67957016140492;-7.62755640671219;-0.174230717861013;-0.2233405762385;0.0493927553295763;87
"88";1994;"Q4";2.76;-2.71792323363293;-7.61913094695003;-0.176067994479072;-0.223997567112967;0.0200452146012321;88
"89";1995;"Q1";3.96;-2.75968531740387;-7.60246771128017;-0.177826163276484;-0.238435552788226;0.00220507255831398;89
"90";1995;"Q2";3.79;-2.70822618225122;-7.6273170093597;-0.171731380009683;-0.23627861641139;-0.00642400496135521;90
"91";1995;"Q3";2.43;-2.68531071413272;-7.62498828511109;-0.176192354547902;-0.236806253907016;0.0275950059458868;91
"92";1995;"Q4";2.74;-2.66202015938104;-7.6245373568381;-0.17833458050982;-0.239844533569648;0.0859424298007248;92
"93";1996;"Q1";2.23;-2.65108109691713;-7.5935099527578;-0.171816814012039;-0.243455028983016;0.0593270692899426;93
"94";1996;"Q2";1.66;-2.62652253001168;-7.60084987985098;-0.173699742269584;-0.235510602462294;0.0408617156777349;94
"95";1996;"Q3";2;-2.62467291110936;-7.61253335909094;-0.174329171521415;-0.237824604841789;0.0659793081816872;95
"96";1996;"Q4";1.79;-2.63068391095563;-7.60486615756133;-0.177768119072707;-0.231436297945693;0.0559451560944759;96
"97";1997;"Q1";1.38;-2.72189000261117;-7.58306998324653;-0.181627667516871;-0.219092300146747;0.0582891307753683;97
"98";1997;"Q2";1.15;-2.73430708710149;-7.59678904290433;-0.187736635948421;-0.232487725030838;0.0524464753725425;98
